,Title,Category,Level,Summary,Fees/Payments,Languages,Website,Address,Email,Phone
0,Asian Pacific Islander (API) Legal Outreach,Asian American Resources,Local Bay Area,"Works to prevent abuse towards elders and people with disabilities and to assist survivors of abuse. Prioritizes services for seniors and individuals with disabilities that are responsive to their language and culture. Through these community-based services, API Legal Outreach works to break the cycle of violence against women, youth and seniors, to advocate for the rights of immigrants and those with disabilities, to promote the dignity and independence of seniors and advocate for the basic rights such as affordable housing and the rights of tenants.","Legal services include: public benefits maintenance and appeals, abuse prevention and intervention, wills and trusts, estate planning, consumer fraud, conservatorships, planning for long-term care, and tax controversies; offers free community events (e.g., immigration legal consultations)","English, Chinese, Japanese, Korean, Spanish, Tagalog, and Vietnamese",https://www.apilegaloutreach.org/programs/seniorlaw-elder-abuse-disability-rights-project/,"1121 Mission Street San Francisco, CA 94103",N/A ,(415) 567-6255
1,Asian Women's Shelter,Asian American Resources,Local Bay Area,"Culturally competent and language-accessible shelter services, educational programs, and community-based advocacy designed to address the needs of women, children, and transgender survivors of domestic violence and human trafficking, especially those who are immigrants and refugees, with a focus on U.S.-born Asian women and their children.","Legal services include: public benefits maintenance and appeals, abuse prevention and intervention, wills and trusts, estate planning, consumer fraud, conservatorships, planning for long-term care, and tax controversies; offers free community events (e.g., immigration legal consultations)","Bicultural, bilingual staff and pool of MultiLingual Language advocates provide support in 34 different languages and dialects.",https://www.sfaws.org/ ,"3543 18th Street #19 San Francisco, CA",info@sfaws.org ,(415) 751-7110; 24-hour Crisis Line: 1-877-751-0880
2,Asian-American Recovery Services (AARS),Asian American Resources,Local Bay Area,"Provides culturally competent services to the Asian and Pacific Islander communities of the San Francisco Bay Area. Services include substance use disorder treatment, mental health treatment, integrated behavioral health services, HIV prevention, testing and counseling, juvenile justice and probation youth services.","Has several programs located in San Francisco, see website for program-specific details","English, Mandarin, Cantonese, Tagalog, Vietnamese, Korean, and Spanish",https://www.healthright360.org/agency/asian-american-recovery-services,see website for program-specific addresses,see website for program-specific emails Phone Number: see website for program-specific phone numbers,(415) 781-0401
3,Cameron House,Asian American Resources,Local Bay Area,"Specializes in providing culturally competent services for Asian Americans. Offers Individual, couples, and family counseling services. Issue areas include marital, familial, and other relationship problems, the impact of domestic violence, emotional and mental health issues, acculturation challenges, and difficulties adjusting to various life changes and stressors.",Sliding scale fees.,"English, Cantonese, and Mandarin",https://cameronhouse.org/ ,"920 Sacramento Street San Francisco, CA 94108",info@cameronhouse.org ,(415) 392-4453
4,Chinatown Community Development Center (CDC),Asian American Resources,Local Bay Area,"Offers individual, group, and family psychotherapy; collateral contacts with parents and significant others; case management services; psychological testing for registered clients; medication support services; school-based services; consultation to preschools, schools, and community-based organizations; and referrals and linkages to appropriate community resources as needed.",Sliding scale fees.,"English, Cantonese, and Vietnamese",https://www.chinatowncdc.org/about-us ,"720 Sacramento St, San Francisco, CA 94108",info@chinatowncdc.org ,(415) 775-2636
5,Community Youth Center,Asian American Resources,Local Bay Area,"Provides case management and individual and family therapy for youth and their families. Clinicians and case managers conduct psycho-social assessments and address mental health stigma. Address the following concerns: limited access to linguistically and culturally appropriate services and co-factors specific behavioral health issues such as violence, chronic truancy, and substance use prevention.","Free service for MediCal recipients, may be sliding scale with private insurance. Often referred in through school staff.","English, Chinese, Cantonese, Tagalog, and Spanish.",https://www.cycsf.org/ ,"1038 Post Street San Francisco, CA 94109",hello@cycsf.org ,(415) 309-0102
6,Filipino Mental Health Initiative of San Francisco (FMHI-SF),Asian American Resources,Local Bay Area,"Committed to increasing access to culturally appropriate wellness and behavioral health services for Filipinx/Filipinx Americans in the San Francisco-Bay Area community in partnership with valued stakeholders such as mental health providers, practitioners, artists, organizers, youth leaders and their families. Offers wellness workshops, knowledge shares, and Mental Health First Aid training in English and Tagalog.","Offers various programs, scholarships, internships, etc., throughout the year, see website for current events.",English and Tagalog,https://www.fmhi-sf.org/ ,"1010 Mission Street, Suite B, San Francisco, CA 94103",fmhisf@bayanihancc.org ,(510) 832-7337
7,PEERS,Asian American Resources,Local Bay Area,"Equips individuals with tools they need to pursue their overall wellness. Offers culturally appropriate services to support mental health; including support groups, art workshops, faith-based support groups, and evidenced based skill-building workshops.","Teen and Young Adults Programs, PEERS Programs","English, Spanish, and Cantonese",https://peersnet.org/ ,https://peersnet.org/ ,admin@peersnet.org ,(415) 668-5955
8,Richmond Area Multi-Service (RAMS),Asian American Resources,Local Bay Area,"Offers comprehensive services that aim to meet the behavioral health, social, vocational, and educational needs of the diverse community of the San Francisco Area with expertise in serving the Asian & Pacific Islander American and Russian-speaking populations.","Adult, Children, Youth, and Family Clinical Services, Community Engagement & Wellness, Workforce Empowerment, Professional Training","English, Russian, and several Asian languages",https://www.ramsinc.org ,"4355 Geary Boulevard, San Francisco, CA 94118",info@ramsinc.org ,N/A
9,San Francisco Bay Area Chinese Community Depression Education Project,Asian American Resources,Local Bay Area,"Provides links to many pamphlets, resources, and personal stories from Chinese people with depression. Reduces stigma around depression, suicide, and mental health issues among Chinese American immigrants and their families by developing culturally sensitive Chinese and English assessment and educational materials that support community and primary care based approaches to outreach, linkage to care, and intervention.",N/A,"English, Cantonese",https://www.csueastbay.edu/sw/cdep/index.html,N/A,BayAreaChinese@csueastbay.edu ,see respective websites for each therapist for more info
10,Therapist of Color (TOC),Asian American Resources,Local Bay Area,Directory of BIPOC therapists in the Bay Area and throughout California.,"Fees for sessions differ for each therapist, see their respective websites for more info.",see respective websites for each therapist for more info,http://www.therapistsofcolor.org/directory.html,N/A,see respective websites for each therapist for more info,N/A
11,Asian American Psychological Association (AAPA),Asian American Resources,General,"AAPA advocates for Asian American mental health issues and works to advance the field of Asian American psychology. They have journals and newsletters focused on the education and training of Asian American psychologists, Asian-American psychological topics, and methods of improving mental health services for Asian Americans.",AAPA Provider Directory connects Asian American and Pacific Islanders to culturally-aware providers.,see respective websites for each therapist for more info,https://aapaonline.org/ ,N/A,contact@aapaonline.org ,(510) 272-9536
12,Association of Asian Pacific Community Health Organizations (AAPCHO),Asian American Resources,General,"AAPCHO develops programs that are tailored to the cultural and language needs of the population served by their community-based organizations. They aim to address the medically underserved communities by offering health education and promotion programs, technical assistance, training, research and data, and resources to support organizations serving these communities and to improve the health status and access of Asian Americans and Native Hawaiians/Pacific Islanders everywhere.","Community-Based Programs & Research include webinars for health providers, learning collaboratives for peer-to-peer info and resource sharing, tuberculosis elimination initiative, and a diabetes prevention program.",English,https://www.aapcho.org/ ,N/A,contact through the following link: https://aapcho.org/contact/,N/A
13,Asian Mental Health Collective,Asian American Resources,General,"Aspires to make mental health easily available, approachable, and accessible to Asian communities worldwide. Offers resource and therapist directories tailored for the Asian community and hosts community events.",Resource/Organization Directory; Therapist Directory,English,https://www.asianmhc.org/ ,N/A,contact through the following link: https://www.asianmhc.org/contact/,(800) 881-8502
14,Mental Health Association for Chinese Communities (MHACC),Asian American Resources,General,"Aims to raise awareness of mental health within the Chinese community through advocacy, education, research, support, and services to represent the wide spectrum of Chinese families and individuals affected by mental health conditions. Offers various support groups in Mandarin and Cantonese.",Free services.,"English, Mandarin, Cantonese",https://www.mhacc-usa.org/ ,N/A,info@mhacc-usa.org ,N/A
15,National Asian American Pacific Islander Mental Health Association (NAAPIMHA),Asian American Resources,General,"Promotes the mental health and well being of the Asian American and Pacific Islander (AAPI) communities by offering trainings, webinars, and resources. Trainings provide a creative, interactive and culturally relevant way of improving both health and mental health outcomes; participants learn how to take an active role in improving their own health as well as learning ways to help others. Pre-recorded webinars can be viewed on their website.","Free services; Achieving Whole Health Training, Friends DO Make a Difference Training",English,https://www.naapimha.org/ ,N/A,"contact through the following link, scroll to bottom of page for contact form https://www.naapimha.org/",(415) 822-1585
16,Bayview Hunters Points Foundation for Community Improvement,Black & African American Resources,Local Bay Area,"Offers outpatient mental health treatment, medication support, case management, and outreach services for child and adolescent residents of San Francisco. It also provides substance use services for individuals 18 and older who need assistance with ceasing heroin use and those at risk for HIV infection. It also offers housing assistance by helping individuals develop goals that support self-determination, self-sufficiency, and re-entry into the community where they can lead productive lives. as well as learning ways to help others. Pre-recorded webinars can be viewed on their website.","Sliding scale, Medi-Cal accepted, referrals to other treatments and social services are also available; Mental Health Services, Substance Use Disorder Services, Residential and Homeless Services","English, Chinese, Spanish",https://bayviewci.org ,"150 Executive Park Boulevard, Suite 2800, San Francisco, CA 94134",info@bayviewci.org ,(415) 775-2636
17,Community Youth Center,Black & African American Resources,Local Bay Area,"Provides case management and individual and family therapy for youth and their families. Clinicians and case managers conduct psycho-social assessments address mental health stigma. Address the following concerns: limited access to linguistically and culturally appropriate services and co-factors specific behavioral health issues such as violence, chronic truancy, and substance use prevention.","Free service for MediCal recipients, may be sliding scale with private insurance. Often referred in through school staff.","English, Chinese, Cantonese, Tagalog, and Spanish.",https://www.cycsf.org/ ,"1038 Post Street San Francisco, CA 94109",hello@cycsf.org ,(510) 832-7337
18,PEERS,Black & African American Resources,Local Bay Area,"Equips individuals with tools they need to pursue their overall wellness. Offers culturally appropriate services to support mental health; including support groups, art workshops, faith-based support groups, and evidenced based skill-building workshops.","Teen and Young Adults Programs, PEERS Programs","English, Spanish, and Cantonese",https://peersnet.org/ ,"8393 Capwell Drive, Suite 240 Oakland, CA 94621",admin@peersnet.org ,N/A
19,Therapists of Color (TOC),Black & African American Resources,Local Bay Area,"Bay Area directory of therapists of color. Directory allows users to view the clinicians listed and learn more about them and their services; is not a referral service, rather it is a self-serve public resource.",See each clinician’s website to learn more about their fees.,See each clinician’s website to learn more about their languages spoken.,http://www.therapistsofcolor.org/directory.html,N/A,contact through the following link: http://www.therapistsofcolor.org/contact-us.html,(415) 431-8252
20,Westside Community Services,Black & African American Resources,Local Bay Area,"Provides high quality, family-centered, culturally competent behavioral health and human services. Focused interventions include using Afrocentric evidence-based treatments. Afrocentric means utilizing African people's history, culture, philosophy, and collective experience as the frame of reference for providing treatment. Westside Ajani is a comprehensive multi-service program that provides outpatient mental health, school-based mental health, and consultation case management and outreach.","Only SF Medical is accepted; all types of referrals are accepted: self-referral, agency referrals, etc.",English,http://www.westside-health.org/services/westsidechild-and-adolescent-services,"1153 Oak Street San Francisco, CA 94117; Teen Clinic: 245 11th Street, San Francisco, CA 94103",ajani@westside-health.org ,N/A
21,Black Emotional and Mental Health Collective (BEAM),Black & African American Resources,General,"Aims to to remove the barriers that Black people experience getting access to or staying connected with emotional health care and healing through education, training, advocacy, and the creative arts. Offers a variety of trainings, a Black Wellness Directory to connect individuals to a virtual Black therapist, doula, yoga teacher, mediator and much more, and peer support services; peer services include support groups and live events.",Peer Support Spaces; Trainings; Organizational Wellness and Coaching; Black Wellness Directory,English,https://www.beam.community/ ,N/A,admin.account@beam.community ,N/A
22,Black Men Heal,Black & African American Resources,General,"Provides access to mental health treatment, psycho-education, and community resources to Black men. Offers free mental health treatment, both individual and group therapy, to Men of Color with the aim to create a safe space with the opportunity to heal from intergenerational trauma and systemic racism. Also, offers various peer support groups for both Black men and women.","Free Therapy Sessions - currently does not offer free therapy sessions in California, to see eligible states refer to their “Contact Us” page; see website under “Our Programs” for updated list of support groups and to register.",English,https://blackmenheal.org/; To View Eligible States for Free Therapy: https://blackmenheal.org/contact-us/,"63 W Lancaster Avenue Suite 11, Ardmore, Pennsylvania 19003",info@blackmenheal.org ,(410) 338-2642
23,Black Mental Health Alliance,Black & African American Resources,General,"Serves multiple populations including Black mental health clinicians, communities, individuals, families and children. Offers an opportunity for clinicians to gain culturally relevant educational growth through its network of subject matter experts in behavioral health. Community members are provided with workshops and forums covering a range of topics and subjects. Also offers direct service provision, including school-based mental health services, youth tobacco education and prevention, fatherhood initiatives, summer camp, after-school programs, and HIV/AIDS prevention initiatives for children and families.",Directory of Black Psychiatrists; see website under “Programs” for updated list of programs,English,https://blackmentalhealth.com/ ,"900 East Fayette Street #2211, Baltimore, Maryland 21203",info@blackmentalhealth.com ,N/A
24,Black Mental Wellness,Black & African American Resources,General,"Provides access to evidence-based information and resources about mental health and behavioral health topics from a Black perspective, as well as training opportunities for students and professionals. Offers youth mental health services, including, (1) professional development, consultation, and webinars for schools, school districts, and youth organizations, (2) curriculum development, and (3) social and emotional learning based training and workshops for educators, students, and youth organizations.",Free services.,English,https://www.blackmentalwellness.com/ Address: N/A,N/A,info@BlackMentalWellness.com,(888) 834-8451
25,Black Women’s Health Imperative,Black & African American Resources,General,"Offers programming to promote physical, mental and spiritual health and well-being for Black women and girls. Through investments in evidence-based strategies, they deliver bold new programs and advocate health-promoting policies.",List and description of the Signature Programs,English,"https://bwhi.org/ Address: 384 Northyards Boulevard NW, Building 100/Suite 190, Atlanta, Georgia 30313",N/A,contact through the following link: https://bwhi.org/contact/,N/A
