"name1","name2","street1","street2","city","state","zip","zip4","county","phone","intake_prompt","intake1","intake2","website","latitude","longitude","type_facility","mh","sa","dt","mm","dm","bum","db","rpn","bu","nxn","vtrl","meth","hh","noop","pain","nmoa","moa","ubn","otp","psy","rtcc","rtca","ores","ph","omh","cmhc","msmh","ipt","cft","gt","cbt","dbt","idd","at","ect","tele","saca","trc","smon","smpd","smop","hi","res","phdt","op","rs","rl","rd","od","omb","odt","oit","ort","hid","hit","ct","gh","psyh","vamc","tbg","ih","stg","lccg","ddf","stag","stmh","stdh","hla","jc","carf","ncqa","coa","hfap","np","sf","md","mc","si","pi","mi","smha","swfs","scjj","sef","osf","clf","csbg","cmhg","vaf","fsa","cit","wi","ss","pa","ah","sp","co","gl","vet","adm","mf","cj","se","ad","pw","wn","mn","hv","trma","xa","dv","sed","smi","alz","ptsd","tbi","tay","ped","act","icm","cm","cdm","peer","coot","dec","es","fpsy","hs","imr","ipc","lad","nrt","nsc","prs","stu","sps","semp","sh","tpc","tcc","vrs","adtx","bdtx","cdtx","mdtx","odtx","tgd","ico","gco","fco","mco","twfa","bia","cmi","moti","ang","mxm","crv","relp","bc","chld","yad","adlt","snr","fem","male","du","duo","acc","acm","acu","baba","ccc","cmha","csaa","daut","dp","dsf","dvfp","eih","emp","haec","heoh","hivt","isc","itu","mhs","opc","sae","shg","smhd","ssa","ssd","stdt","ta","taec","tbs","bsdm","nu","mu","bwn","bwon","ub","un","beri","pvtp","pvtn","fqhc","sumh","inpe","rpe","pc","naut","nmaut","acma","pmat","auinpe","aurpe","aupc","dlc","mhiv","mhcv","lfxd","clnd","copsu","daof","mst","noe","ofd","rc","piec","mdet","voc","hav","hbv","audo","cbhc","chlor","drope","fluph","halop","loxap","perph","pimoz","proch","thiot","thior","trifl","aripi","asena","brexp","carip","cloza","ilope","luras","olanz","olanzf","palip","queti","rispe","zipra","crt","emdr","kit","tms","peon","peoff","fg","pcf","pefp","aot","msnh","ipsy","shp","vahc","mmd","antpych","mpep","aim","fed","sotp","dea","mhc","samf","mhpa","hbt","hct","labt","tod","vapn","vapp","vppd","oudo","nx","fx","mws","f17","f19","f25","f28","f30","f31","f35","f36","f37","f4","f42","f43","f47","f66","f67","f70","f81","f92","n24","n40"
"HealthRIGHT 360","Outpatient Program","1563 Mission Street","3rd Floor","San Francisco","CA","94103","","San Francisco","415-762-3700","","415-762-3700 x4380","","http://www.healthright360.org/","37.7730645","-122.418101","SU","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","1","1","1","1","","","","","","1","","","","","","","1","1","","","","","","","","","","","","","","1","","","1","","","","","","1","","","","","","","","","","","","","","1","","","","","","","1","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","1","1","","","","","1","1","1","","","1","","","1","1","","1","1","","","1","","","","","1","1","1","1","","","","1","","","","","","1","1","1","","1","1","","","","","","","","","","","","","","","1","","1","","","1","","","1","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Joe Healy Detoxification Program","","101 Gough Street","","San Francisco","CA","94102","","San Francisco","415-503-3137","Intakes","415-336-8672","415-864-1515","http://PRCSF.ORG","37.77422","-122.42275","SU","","1","1","","","","1","","1","1","","","","","","","1","","","","","","","","","","","","","","1","","","","","","1","1","1","","","","1","","","1","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","","1","","","1","","","","","1","","1","1","","","1","","1","1","","","","1","","1","1","","","1","","","1","1","","1","1","","","","","","","","","1","1","1","","","","","1","","1","","","","","1","1","","1","","","1","1","","","1","","1","","1","","","","1","","1","","1","","","","1","","","1","","","","","","","","","","1","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Felton Institute","FCFP Medical/Full Circle","1663 Mission Street","Suite 604","San Francisco","CA","94103","","San Francisco","415-474-7310","","","","https://felton.org/social-services/children-youth-family/fcfp-full-circle-family-program/","37.7712526","-122.4193826","MH","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","1","1","1","","","1","","1","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","1","","","1","","","","","1","1","","","","","","1","1","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"City and County of San Francisco","OBIC","1380 Howard Street","2nd Floor","San Francisco","CA","94103","2638","San Francisco","415-552-6242","","","","http://www.dsaam.org/obic","37.7745194","-122.4144185","SU","","1","1","","","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","1","","","","","1","1","","","","1","","","","1","","","","1","1","","","1","","","","","","","","","1","","","1","","1","","","","","","","","","1","1","1","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","1","","","","1","1","","1","1","","","","1","","","","","","1","","1","1","","","","1","1","1","","","","","","1","","","","1","1","","","","1","","1","","1","1","1","1","1","","","","1","1","","1","","1","1","1","","1","1","","","","1","1","","1","","1","1","1","1","1","","","1","1","","","","","","","1","1","","","","","","","1","","","1","1","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","1","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","",""
"Westside Community Services","Child Youth and Family Services","245 11th Street","","San Francisco","CA","94117","","San Francisco","415-431-8252","Intakes","415-431-8252 x1135","415-431-9000","http://www.westside-health.org","37.7727163","-122.4147104","MH","1","1","","","","","","","","","","","","","","","","","","","","","","","1","","","1","1","","","","","1","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","","1","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","1","","","","1","","","","1","","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Westside Community Services","Integrated Service Center","245 11th Street","","San Francisco","CA","94103","","San Francisco","415-355-0311 x1263","Intakes","415-431-9000","","http://www.westside-health.org","37.77271","-122.414667","MH","1","1","","","","","","","","","","","","","","","","","","","","","","","1","","","1","1","1","1","1","1","1","","1","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","","1","1","1","","1","1","","","","","","1","","","1","1","1","1","1","","","1","1","","","","","1","1","","","","1","","1","1","","","","","1","1","1","1","","1","1","1","1","","","","","1","1","1","","1","","1","1","","","","","","","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Father Alfred Center","Saint Anthony Foundation","291 10th  Street","","San Francisco","CA","94103","3810","San Francisco","415-592-2880","","415-592-2831","","http://www.stanthonysf.org","37.773214","-122.412904","SU","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","1","","1","","1","1","","","","1","","","","","","","","1","","","","","","","","","","1","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","1","","1","1","1","1","","","1","1","","","","1","1","1","1","1","","","","","","1","","","","1","","1","","","","","1","","","","1","","","1","","","","","1","","","","","","","","1","1","1","1","1","1","1","1","1","1","","1","","","1","1","","","1","","","1","","","1","","","1","1","1","","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","","1","","1","","","","","","1","","","","","","","1","","","","","","","","","","","1","","","","1","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HealthRIGHT 360","Lee Woodward Counseling Center","1735 Mission Street","","San Francisco","CA","94103","2417","San Francisco","415-776-1001","","","415-750-5125","http://www.healthright360.org/program/lee-woodward-counseling-center-lwcc","37.7694225","-122.4198163","SU","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","1","1","1","","1","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","1","","","","","","1","1","","","","","","","","","","","","","1","","","","","","1","1","","","","","1","","","1","1","","","1","","","","","","","","1","","","","1","","1","","","","","1","","","","","","","1","","","","","1","","","","","","","","1","1","","","1","","1","1","1","1","1","1","","","1","1","","1","","","","","","","1","","","1","1","1","","","","1","","","","1","","1","1","1","1","1","1","1","","1","","","","1","","","","","","","","1","","","1","1","1","","","1","","","1","1","","","","","","","","","1","1","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"University of California San Francisco","Alliance Health Project","1930 Market Street","","San Francisco","CA","94102","","San Francisco","415-476-3990","","415-476-3902","","http://alliancehealthproject.ucsf.edu","37.770501","-122.425711","SU","","1","","","","","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","1","","","","","1","1","1","1","","","","","","1","","","","","1","","","1","","","","","","","","","1","","","","","1","","","","","","","","","1","1","1","","","","","","","","","","","","1","","","","1","","","1","1","","","","","1","","","1","1","1","1","","","","","","","","","","","","1","","1","","","","","1","","","","","","","1","1","","","","1","","","","","","","","1","1","","1","","1","","1","","","","1","","","1","1","","1","1","","","","","","","","1","1","","1","1","","1","","1","1","1","1","","1","1","1","1","1","1","1","1","","1","","","1","","1","","","1","","","","","1","","1","","","","1","1","","1","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Addiction Research and Treatment Inc","(ART)","433 Turk Street","","San Francisco","CA","94102","","San Francisco","415-928-7800 x2150","","415-928-7800","","http://baartprograms.com","37.78222","-122.4163013","SU","","1","1","1","","1","","","1","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","1","","1","","","","","","1","","","","","1","","","1","","","","","","","","","","","","1","","","","","1","","","","","1","1","1","1","1","1","","","","","","","","","","1","","","1","","","","1","","","","","","","","1","","","1","1","","","","","","","","","","","","1","","","","","","","1","","1","","","","","1","","","","","1","","","","","","1","","1","1","","","","","","","","","","","","","","","","1","1","","","1","","","1","","1","1","1","1","","","1","","1","1","1","","","1","1","1","","1","1","1","1","","1","1","","","1","1","1","1","","1","1","","","1","","","","1","","","","","","","","1","1","","","","","","1","1","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","1","1","1","","","1","","","1","","","1","","","","","","","","","","","","","","","","","","","",""
